country,year,adj_svng_gn,country_id,domestic_credit_to_private,rule_of_law,gdp_pc,fdi_stock_tuorism,fdi_stock_manuf,adj_savings,fdi_manufacturing_gdp,fdi_tourism_gdp,trade_index,control_of_corruption,di_inward_stock_BDP
Czechia,2015,10.37917090747,3,49.5419833795206,101.137294054031,16080,543.39099999999996,35228.733999999997,10.4089193949739,20.7767805093113,0.32047463124094,155.175663480909,0.468281865119934,63.1814346
Czechia,2016,9.61827179840221,3,51.0588043502507,101.020164251328,16790,497.46600000000001,36493.264999999999,9.6106954318318305,20.566709312708,0.280359639373337,150.586267345414,0.556319892406464,65.1643165
Czechia,2017,9.27665925884135,3,50.9067076939694,101.124163508415,18330,595.55200000000002,37935.118000000002,9.3229655131523295,19.5407970322076,0.306775393558162,150.532652492994,0.568476736545563,66.9860147
Czechia,2018,9.23305139457668,3,51.3383176222557,101.055094003677,19850,601.99699999999996,40749.959000000003,9.5075060146105308,19.3154751886631,0.285346498560885,147.94852332232,0.510070621967316,67.9808715
Czechia,2019,9.15013631252874,3,50.281312971172,101.052832484245,21150,745.43200000000002,43103.188999999998,9.8148123601456803,19.1048820465786,0.330402245498475,141.771023662617,0.533790946006775,67.6059785
Czechia,2020,9.2432918832401,3,53.205621605978,101.059881210327,20170,737.43,43156.343999999997,8.5818803166208895,19.9978084321384,0.341710685041157,133.148319770557,0.555802822113037,73.7240235
Estonia,1997,,4,,,3250,20.3,384.29,..,8.41580788912036,0.444562440212192,151.051344390403,,22.7843726
Estonia,1998,,4,,100.664761245251,3630,21.66,513.46,..,10.1546849502471,0.428369251786608,156.838235827521,0.655492126941681,30.8619676
Estonia,1999,,4,,,3920,22.47,562.36,..,10.4007841831734,0.415580092104533,144.116453592933,,45.3864506
Estonia,2000,11.3961208332461,4,,100.653669953346,4400,55.45,612.79,10.2613032517935,9.92919178170977,0.898470412858902,126.495610165523,0.840922892093658,46.06585
Estonia,2001,11.1851879116966,4,,,5020,58.47,739.2,10.4380266891683,10.5794965006941,0.836827868500522,126.456987901508,,51.1370955
Estonia,2002,10.9335657186688,4,,100.824948132038,5650,52.36,758.96,10.306233437717999,9.70214506685757,0.669342673791323,123.318214706657,0.739191174507141,51.5762023
Estonia,2003,11.131854862715,4,,100.805907726288,6360,87.272000000000006,939.03399999999999,10.6866917931135,10.738689904396,0.998033026851471,122.776875234578,0.9227254986763,63.5069301
Estonia,2004,11.1748924147419,4,40.3069825129804,100.946691691875,7160,66.650000000000006,1235.71,10.634598613922901,12.638302224495,0.681667092815137,129.978208039533,0.982846856117249,75.4211199
Estonia,2005,13.6310383408678,4,56.584741436993,100.969764113426,8350,42.462000000000003,1424.1980000000001,12.8951579385978,12.5554115645359,0.374335510830182,135.938816584636,0.994831264019012,84.2832333
Estonia,2006,14.4638957984673,4,76.2371093372875,101.14090013504,10050,34.518999999999998,1684.528,13.7102025040641,12.4146246195344,0.254397924665964,136.643220946677,1.0123438835144,71.0728209
Estonia,2007,14.171970423446,4,83.7518460388649,101.173004984856,12210,25.263999999999999,1660.6130000000001,13.493159858921199,10.1248864419284,0.154036570271869,133.987601252435,0.967807710170746,69.4237652
Estonia,2008,11.6482640199829,4,89.67350228041,101.199120759964,12420,80.7,1577.8,10.776387126721,9.49446687647806,0.485615082349968,136.689051143382,0.952435076236725,66.7986236
Estonia,2009,9.1317088779833,4,101.38795640148,101.131253361702,10580,71.3,1624.4,8.2874594189970505,11.4945619484995,0.504532299266199,116.764747673625,1.00068259239197,77.8086267
Estonia,2010,8.94210460405827,4,92.8085232156644,101.159727811813,11060,69.5,1722.4,8.41454121112187,11.6843383465277,0.471470921437342,143.678224078619,0.989536285400391,78.9512975
